Entity,Year,Country code,male suicide rate,female suicide rate
Afghanistan,2004,AFG,4.884803772,8.630155563
Albania,2004,ALB,9.330574036,6.060874939
Algeria,2004,DZA,5.145025253,4.600764751
Andorra,2004,AND,8.048293114,2.902797222
Angola,2004,AGO,21.47297668,8.143819809
Antigua and Barbuda,2004,ATG,4.430495262,
Argentina,1966,ARG,12.20396,3.773803
Argentina,1967,ARG,15.55211,4.522207
Argentina,1968,ARG,16.78204,4.950262
Argentina,1969,ARG,16.7764,4.47279
Argentina,1970,ARG,16.04499,5.086274
Argentina,1977,ARG,11.71793,4.095239
Argentina,1978,ARG,11.94934,4.20104
Argentina,1979,ARG,10.19954,3.768375
Argentina,1980,ARG,11.59206,3.895963
Argentina,1981,ARG,12.98644,3.973988
Argentina,1982,ARG,11.06296,3.379611
Argentina,1983,ARG,9.592617,3.553246
Argentina,1984,ARG,10.37836,3.264729
Argentina,1985,ARG,10.73983,3.57422
Argentina,1986,ARG,12.03627,4.305565
Argentina,1987,ARG,11.58906,4.496664
Argentina,1988,ARG,11.82209,4.194231
Argentina,1989,ARG,11.35565,3.802261
Argentina,1990,ARG,10.51878,3.655709
Argentina,1991,ARG,9.852893,2.975335
Argentina,1992,ARG,11.32803,2.9983
Argentina,1993,ARG,11.57395,2.870972
Argentina,1994,ARG,11.19603,2.945701
Argentina,1995,ARG,10.77449,2.831591
Argentina,1996,ARG,10.63765,2.955786
Argentina,1997,ARG,10.30783,3.053083
Argentina,1998,ARG,10.91713,2.805949
Argentina,1999,ARG,11.39431,2.604184
Argentina,2000,ARG,12.92308,2.917899
Argentina,2001,ARG,14.0125,3.537312
Argentina,2002,ARG,13.75238,3.624188
Argentina,2003,ARG,14.32759,3.470717
Argentina,2004,ARG,13.3532,3.28949
Armenia,2004,ARM,6.392276287,1.542518139
Australia,1950,AUS,13.89218,4.559263
Australia,1951,AUS,14.318,4.573612
Australia,1952,AUS,15.99589,5.168044
Australia,1953,AUS,15.86971,5.885497
Australia,1954,AUS,16.23365,5.378865
Australia,1955,AUS,15.49302,5.318667
Australia,1956,AUS,16.03185,5.7286
Australia,1957,AUS,17.84965,6.757056
Australia,1958,AUS,19.05134,6.139689
Australia,1959,AUS,16.91927,5.798526
Australia,1960,AUS,15.61751,6.195316
Australia,1961,AUS,17.6378,6.841145
Australia,1962,AUS,19.69866,8.803148
Australia,1963,AUS,22.00281,10.87834
Australia,1964,AUS,20.24845,10.17107
Australia,1965,AUS,19.79254,11.19239
