year,australia,canada,france,unitedkingdom,unitedstates
1950,9.11394,8.201165,13.15992,8.116419,11.22106
1951,9.414491,7.869432,13.29235,8.081386,10.24862
1952,10.52931,7.786166,13.18141,7.789029,9.890234
1953,10.77947,7.629456,13.92929,8.469019,9.985363
1954,10.70571,7.803952,13.75461,8.928727,10.05145
1955,10.29923,7.667578,14.98917,8.922245,10.12583
1956,10.83826,8.347555,14.17177,9.326525,9.942091
1957,12.24532,8.257942,14.28547,9.353084,9.770529
1958,12.51539,8.249329,14.60973,9.39134,10.75953
1959,11.26922,8.147938,13.82906,9.215195,10.66436
1960,10.84956,8.403479,13.91007,9.088522,10.78558
1961,12.21164,8.312451,13.27934,9.13943,10.61668
1962,14.19252,8.002673,13.75892,9.843241,11.17855
1963,16.3551,8.473262,13.30793,10.09012,11.40495
1964,15.12317,9.206102,13.53311,9.696188,11.15046
1965,15.43313,9.751631,14.06569,9.024946,11.52387
1966,14.58644,9.506003,14.02401,8.776801,11.28246
1967,15.65878,9.95408,13.76804,8.305869,11.19782
1968,13.19256,10.67558,13.91817,8.011331,11.05477
1969,12.76834,11.75264,13.73334,7.532174,11.40742
1970,12.83559,12.15343,13.65924,6.953133,11.83682
1971,14.15584,12.61654,14.3131,6.950485,11.87784
1972,13.0239,12.78639,13.69903,6.809535,12.13471
1973,12.02608,13.05484,13.84374,6.951233,12.00975
1974,12.06323,13.28622,13.91132,7.0541,12.12908
1975,11.39783,12.50456,13.94507,6.728405,12.45698
1976,11.01759,12.90813,14.55289,6.939591,12.09256
1977,11.29412,14.12873,15.10253,7.156529,12.67173
1978,11.27129,14.53326,16.34446,7.268871,11.81377
1979,11.64795,13.82573,16.85985,7.647055,11.56452
1980,10.9455,13.54163,16.98194,7.817475,11.24043
1981,11.08437,13.4263,17.992,7.91114,11.41708
1982,11.35668,13.84684,18.64797,7.787232,11.4899
1983,10.6924,14.30516,18.86752,7.708611,11.34989
1984,10.94829,12.95502,19.29249,7.730339,11.54221
1985,11.36893,12.08838,19.4723,7.934777,11.44829
1986,12.27354,13.58978,18.48448,7.471793,11.84603
1987,12.67795,13.16523,17.51214,7.161623,11.65775
1988,12.457,12.67723,17.50628,7.735447,11.39492
1989,11.61991,12.47078,16.83448,6.798954,11.25343
1990,12.21795,11.86393,16.87893,7.277498,11.45217
1991,12.50919,12.32333,16.98829,7.15409,11.2965
1992,12.13431,12.22278,17.85212,7.251611,11.05505
1993,10.8313,12.2041,17.36844,6.969402,11.18842
1994,12.03813,11.94806,16.79073,6.824561,11.12714
1995,11.34692,12.46905,15.99484,6.710214,11.05877
1996,12.44981,12.25137,15.63212,6.430166,10.77281
1997,13.50883,11.30162,14.81209,6.425081,10.52044
1998,13.31107,11.27126,14.38218,6.826987,10.38139
1999,12.37532,12.13107,14.99261,6.817769,9.817642
2000,11.69399,10.69649,14.45022,6.589573,9.532645
2001,11.84839,10.76762,14.59405,6.352021,9.811729
2002,11.03015,10.46119,14.75186,6.370787,9.95536
2003,10.10695,10.61292,14.49824,6.05577,9.815033
2004,9.656323,10.10099,14.09153,6.271399,10.02633
2005,8.470030125,10.10099,12.17976,6.014659,9.927033
